#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
14.2	1.97464339659391E-05	-0.0506448933293326	-0.311113815528057	0.0669013769477435
14.3	1.79961241565251E-05	-0.0489129291523757	-0.309802742349914	0.0616584049993872
14.4	1.6400158516572E-05	-0.0472347612761078	-0.308402500111252	0.0563668660761718
14.5	1.49450084977396E-05	-0.0456090027557229	-0.306916487199469	0.0510314756711235
14.6	1.36183229903113E-05	-0.0440342865977808	-0.305348056706816	0.045656873341582
14.7	1.24088267087705E-05	-0.0425092664980826	-0.303700514534766	0.0402476201979205
14.8	1.13062272587935E-05	-0.0410326174900667	-0.301977117663044	0.0348081965965047
14.9	1.03011301444883E-05	-0.0396030365092309	-0.300181072576488	0.0293430000301095
15	9.38496106253607E-06	-0.0382192428788866	-0.298315533842939	0.0238563432090728
15.1	8.54989485171584E-06	-0.036879978722194	-0.296383602835591	0.0183524523264809
15.2	7.78879054048118E-06	-0.0355840093053252	-0.294388326593381	0.0128354655008559
15.3	7.095131974119E-06	-0.0343301233162191	-0.29233269681316	0.00730943138984992
15.4	6.46297354885379E-06	-0.0331171330833422	-0.290219648967559	0.00177830796855656
15.5	5.88689061544004E-06	-0.0319438747384885	-0.288052061542668	-0.00375403853382155
15.6	5.36193415880968E-06	-0.0308092083275807	-0.285832755389754	-0.00928383454514271
15.7	4.88358938747012E-06	-0.0297120178731489	-0.283564493185445	-0.0148073999153727
15.8	4.44773789355119E-06	-0.0286512113920145	-0.281249978995009	-0.0203211485414813
15.9	4.05062308947503E-06	-0.0276257208715218	-0.278891857933455	-0.0258215888579976
16	3.68881863105872E-06	-0.0266345022074599	-0.276492715919387	-0.0313053241989535
16.1	3.35919957305382E-06	-0.0256765351066878	-0.274055079516718	-0.0367690530368073
16.2	3.05891602914814E-06	-0.0247508229572643	-0.271581415859472	-0.042209569103812
16.3	2.78536911383693E-06	-0.0238563926687867	-0.269074132655106	-0.0476237614011674
16.4	2.53618897046553E-06	-0.0229922944854425	-0.266535578261894	-0.0530086141012019
16.5	2.30921471462003E-06	-0.0221576017741715	-0.263968041836122	-0.0583612063476554
16.6	2.10247611324682E-06	-0.0213514107901684	-0.261373753544927	-0.0636787119590382
16.7	1.91417686864148E-06	-0.0205728404218861	-0.25875488484086	-0.0689583990399264
16.8	1.74267934944906E-06	-0.0198210319174729	-0.25611354879427	-0.0741976295048873
16.9	1.58649065427691E-06	-0.0190951485945738	-0.253451800479885	-0.0793938585196272
17	1.4442498977433E-06	-0.0183943755352426	-0.250771637413986	-0.0845446338638526
