#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
25.9	2.92484380484762E-10	-0.000520042851425279	0.0593312909907014	-0.250161191811554
26	2.65672629459293E-10	-0.000498667806434201	0.058155469275487	-0.249602227684131
26.1	2.41315115067704E-10	-0.000478155953556378	0.0569995296532483	-0.249007262910196
26.2	2.19187539312409E-10	-0.000458473196578906	0.0558632449383478	-0.248377117160025
26.3	1.99086068385711E-10	-0.000439586748073145	0.0547463867095453	-0.247712605876793
26.4	1.80825469043555E-10	-0.000421465081070926	0.0536487254931155	-0.247014539963517
26.5	1.64237414352257E-10	-0.000404077882427306	0.0525700309389722	-0.246283725483053
26.6	1.49168943449086E-10	-0.000387396007816087	0.0515100719899738	-0.245520963370916
26.7	1.35481061347043E-10	-0.000371391438305807	0.0504686170445798	-0.244727049160623
26.8	1.23047466078142E-10	-0.000356037238465267	0.0494454341130274	-0.243902772721342
26.9	1.11753391619558E-10	-0.000341307515949083	0.048440290967195	-0.243048918007542
27	1.0149455609311E-10	-0.000327177382515131	0.0474529552843156	-0.242166262820431
27.1	9.21762056802921E-11	-0.000313622916427053	0.0464831947847049	-0.241255578580876
27.2	8.37122455607863E-11	-0.000300621126196359	0.0455307773636613	-0.24031763011359
27.3	7.6024449969932E-11	-0.000288149915619915	0.0445954712176971	-0.239353175442295
27.4	6.90417441869627E-11	-0.00027618805006991	0.043677044965255	-0.238362965595634
27.5	6.26995519174395E-11	-0.000264715123994605	0.042775267762064	-0.237347744423559
27.6	5.69392021259657E-11	-0.000253711529589405	0.0418899094112828	-0.236308248423953
27.7	5.17073899143555E-11	-0.000243158426598992	0.0410207404685814	-0.235245206579237
27.8	4.69556865307169E-11	-0.000233037713212384	0.040167532342303	-0.234159340202707
27.9	4.26400940408423E-11	-0.000223331998013985	0.0393300573888515	-0.233051362794373
28	3.87206405988651E-11	-0.000214024572954737	0.0385080890034434	-0.231921979906032
28.1	3.51610126229761E-11	-0.000205099387308632	0.0377014017063619	-0.230771889015355
28.2	3.19282205174361E-11	-0.000196541022580861	0.0369097712248487	-0.22960177940875
28.3	2.89922948871658E-11	-0.000188334668334931	0.0361329745707652	-0.228412332072745
28.4	2.63260104686001E-11	-0.0001804660989071	0.0353707901141535	-0.22720421959369
28.5	2.39046352527634E-11	-0.000172921650977439	0.0346229976528242	-0.225978106065518
28.6	2.17057025059078E-11	-0.000165688201967825	0.0338893784780955	-0.22473464700536
28.7	1.9708803601655E-11	-0.000158753149238066	0.0331697154368066	-0.223474489276782
28.8	1.78953997682502E-11	-0.000152104390052314	0.0324637929897231	-0.222198271020421
28.9	1.62486510270006E-11	-0.000145730302288771	0.0317713972664536	-0.220906621591803
29	1.47532607547862E-11	-0.000139619725866578	0.0310923161169898	-0.219600161506142
29.1	1.33953344461063E-11	-0.000133761944864618	0.0304263391599837	-0.218279502389885
29.2	1.21622513797641E-11	-0.000128146670307771	0.0297732578278705	-0.216945246938811
29.3	1.1042548013148E-11	-0.000122764023596968	0.0291328654089434	-0.215597988882483
29.4	1.00258120342319E-11	-0.000117604520560146	0.0285049570864864	-0.214238312954833
29.5	9.10258609883214E-12	-0.000112659056101982	0.0278893299750656	-0.212866794870702
29.6	8.26428036922954E-12	-0.000107918889430993	0.0272857831540793	-0.211484001308127
29.7	7.50309305078384E-12	-0.000103375629843304	0.0266941176986637	-0.210090489896188
29.8	6.81193819636275E-12	-9.9021223043085E-05	0.0261141367080494	-0.208686809208231
29.9	6.18438011495235E-12	-9.4847937980312E-05	0.0255456453314606	-0.207273498760268
30	5.61457378130411E-12	-9.08483541871675E-05	0.0249884507916479	-0.205851089014397
30.1	5.09721069845975E-12	-8.70153495950159E-05	0.0244423624061416	-0.204420101387034
30.2	4.62746971498018E-12	-8.3342088814511E-05	0.023907191606312	-0.202981048261815
30.3	4.20097234413745E-12	-7.98220118619764E-05	0.02338275195432	-0.201534433006964
30.4	3.81374217362831E-12	-7.64488233157786E-05	0.0228688591580381	-0.200080749996987
30.5	3.46216799190596E-12	-7.32164818869705E-05	0.0223653310840227	-0.198620484638512
30.6	3.14297029134589E-12	-7.01191903890191E-05	0.0218719877686131	-0.197154113400116
30.7	2.85317083947463E-12	-6.71513860919595E-05	0.0213886514272333	-0.195682103845988
30.8	2.5900650376761E-12	-6.43077314468204E-05	0.0209151464619676	-0.194204914673266
30.9	2.35119681240889E-12	-6.15831051666586E-05	0.0204512994674834	-0.192722995752899
31	2.13433580725139E-12	-5.89725936510188E-05	0.019996939235368	-0.191236788173895
31.1	1.93745666525199E-12	-5.64714827410887E-05	0.0195518967569462	-0.189746724290794
31.2	1.75872021029411E-12	-5.40752497932749E-05	0.019116005224646	-0.188253227774238
31.3	1.59645635366265E-12	-5.17795560593465E-05	0.0186891000319723	-0.1867567136645
31.4	1.44914856788287E-12	-4.95802393617195E-05	0.0182710187721523	-0.185257588427827
31.5	1.31541978433694E-12	-4.74733070528557E-05	0.0178616012355115	-0.183756250015479
31.6	1.19401958428108E-12	-4.54549292481391E-05	0.0174606894056365	-0.18225308792532
31.7	1.08381256480667E-12	-4.35214323219772E-05	0.0170681274543833	-0.180748483265857
31.8	9.83767772120895E-13	-4.1669292657232E-05	0.0166837617357827	-0.17924280882258
31.9	8.92949104366169E-13	-3.9895130638448E-05	0.0163074407788972	-0.177736429126504
32	8.10506595142027E-13	-3.81957048796805E-05	0.0159390152796799	-0.176229700524786
32.1	7.35668497020832E-13	-3.65679066780606E-05	0.0155783380918838	-0.174722971253313
32.2	6.67734091734147E-13	-3.50087546845534E-05	0.0152252642170713	-0.173216581511136
32.3	6.06067160417011E-13	-3.35153897836728E-05	0.0148796507937684	-0.171710863536657
32.4	5.50090053394891E-13	-3.20850701742178E-05	0.0145413570858096	-0.170206141685464
32.5	4.99278304538136E-13	-3.07151666433799E-05	0.0142102444699162	-0.168702732509698
32.6	4.53155740242611E-13	-2.9403158026854E-05	0.0138861764225504	-0.167200944838872
32.7	4.1129003766859E-13	-2.81466268478505E-05	0.0135690185060854	-0.16570107986203
32.8	3.73288691025475E-13	-2.69432551281677E-05	0.0132586383543311	-0.164203431211169
32.9	3.38795348465155E-13	-2.57908203647365E-05	0.0129549056574534	-0.162708285045815
33	3.07486485576824E-13	-2.4687191665287E-05	0.0126576921463223	-0.161215920138679
33.1	2.79068384592376E-13	-2.36303260370264E-05	0.0123668715763271	-0.159726607962303
33.2	2.53274391242449E-13	-2.26182648224378E-05	0.0120823197106892	-0.158240612776612
33.3	2.29862423775321E-13	-2.16491302765307E-05	0.0118039143033087	-0.156758191717292
33.4	2.08612710987402E-13	-2.07211222800848E-05	0.0115315350811737	-0.155279594884919
33.5	1.89325738236746E-13	-1.98325151836279E-05	0.011265063726366	-0.153805065434755
33.6	1.71820382339423E-13	-1.89816547770892E-05	0.0110043838576892	-0.152334839667156
